Name: CCTV-1, URL: https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8$订阅源, Date: None, Delay: 381 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源, Date: None, Delay: 18 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$订阅源, Date: None, Delay: 63 ms, Speed: 9.50 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33$订阅源, Date: None, Delay: 29 ms, Speed: 13.50 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://112.27.145.212:9901$订阅源, Date: None, Delay: 2819 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$订阅源, Date: None, Delay: 162 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://php.jdshipin.com/TVOD/hljyd.php?id=3221226016$订阅源, Date: None, Delay: 63 ms, Speed: 9.50 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8$订阅源, Date: None, Delay: 812 ms, Speed: 0.50 M/s, Resolution: 426x240
Name: CCTV-1, URL: http://php.jdshipin.com:8880/cqyx.php?id=CCTV1HD$订阅源, Date: None, Delay: 29 ms, Speed: 13.50 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: https://cdn5.163189.xyz/live/cctv1/stream.m3u8$订阅源, Date: None, Delay: 2978 ms, Speed: 2.15 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2304 ms, Speed: 0.03 M/s, Resolution: 720x576
Name: CCTV-1, URL: http://116.9.204.242:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 2304 ms, Speed: 0.03 M/s, Resolution: 720x576
Name: CCTV-1, URL: http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 2304 ms, Speed: 0.03 M/s, Resolution: 720x576
Name: CCTV-1, URL: http://3501776.xyz:35455/gaoma/cctv1.m3u8$订阅源, Date: None, Delay: 239 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$订阅源, Date: None, Delay: 273 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-1, URL: http://104.238.221.42:8880/itv/6000000001000029752.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1177 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://104.238.221.42:8880/itv/5000000004000002226.m3u8?cdn=bestzb$订阅源, Date: None, Delay: 1177 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://104.238.221.42:8880/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1177 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://3501776.xyz:35455/itv/6000000001000029752.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 239 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://3501776.xyz:35455/itv/5000000004000002226.m3u8?cdn=bestzb$订阅源, Date: None, Delay: 239 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://3501776.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 239 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://goo.bkpcp.top/mg/CCTV-12社会与法社会与法$订阅源, Date: None, Delay: 26 ms, Speed: 60.73 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://219.135.180.210:18888/hls/1/index.m3u8$订阅源, Date: None, Delay: 245 ms, Speed: 0.20 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://36.32.174.67:60080/newlive/live/hls/14/live.m3u8$订阅源, Date: None, Delay: 408 ms, Speed: 0.26 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8$订阅源, Date: None, Delay: 507 ms, Speed: 0.64 M/s, Resolution: 640x360
Name: CCTV-1, URL: http://lt.hxtre.com:35455/itv/1000000001000021973.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 2016 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://120.192.226.35:8009/hls/501/index.m3u8$订阅源, Date: None, Delay: 1562 ms, Speed: 0.28 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8?$订阅源, Date: None, Delay: 241 ms, Speed: 0.09 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://114.104.171.233:20080/hls/1/index.m3u8$订阅源, Date: None, Delay: 1286 ms, Speed: 0.26 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv1$订阅源, Date: None, Delay: 224 ms, Speed: 1.80 M/s, Resolution: 854x480
Name: CCTV-1, URL: http://139.196.151.191:2051/rtp/239.45.3.145:5140$上海电信组播源, Date: 2024-03-01, Delay: 857 ms, Speed: 0.06 M/s, Resolution: None
Name: CCTV-1, URL: http://39.170.52.236:808/hls/1/index.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.30 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://61.138.128.226:19901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 709 ms, Speed: 0.02 M/s, Resolution: None
